timestamp,source,input,expected_labels,predicted_labels,is_correct,drugs_detected,has_claim,claim_text,claim_reasoning,time_seconds,memory_mb,llm_calls,fda_calls,bluesky_calls
2025-11-22T03:38:26.161150,generated,Just picked up my metformin prescription from the pharmacy.,"[""drug-approved""]","[""drug-approved""]",True,"[""metformin""]",False,,,9.22,8.57,2,1,0
2025-11-22T03:38:34.497461,generated,Insulin should be free for everyone who needs it.,"[""drug-approved""]","[""drug-approved""]",True,"[""Insulin""]",False,,,8.33,0.14,2,1,0
2025-11-22T03:38:41.276001,generated,Why is Adderall so expensive even with insurance?,"[""drug-approved""]","[""drug-approved""]",True,"[""Adderall""]",False,,,6.77,0.17,2,1,0
2025-11-22T03:38:49.232273,generated,My pharmacy switched my lisinopril to a different manufacturer.,"[""drug-approved""]","[""drug-approved""]",True,"[""lisinopril""]",False,,,7.95,0.17,2,1,0
2025-11-22T03:38:57.365199,generated,Finally got my atorvastatin refill after two weeks.,"[""drug-approved""]","[""drug-approved""]",True,"[""atorvastatin""]",False,,,8.13,0.15,2,1,0
2025-11-22T03:39:04.998717,generated,Does anyone take sertraline in the morning or at night?,"[""drug-approved""]","[""drug-approved""]",True,"[""sertraline""]",False,,,7.63,0.23,2,1,0
2025-11-22T03:39:12.051628,generated,The pharmacy ran out of albuterol inhalers.,"[""drug-approved""]","[""drug-approved""]",True,"[""albuterol""]",False,,,7.05,0.16,2,1,0
2025-11-22T03:39:19.701120,generated,I forgot to take my levothyroxine this morning.,"[""drug-approved""]","[""drug-approved""]",True,"[""levothyroxine""]",False,,,7.65,0.13,2,1,0
2025-11-22T03:39:26.100658,generated,Omeprazole is on backorder everywhere.,"[""drug-approved""]","[""drug-approved""]",True,"[""Omeprazole""]",False,,,6.39,0.15,2,1,0
2025-11-22T03:39:32.740279,generated,My gabapentin prescription got denied by insurance.,"[""drug-approved""]","[""drug-approved""]",True,"[""gabapentin""]",False,,,6.63,0.13,2,1,0
2025-11-22T03:39:40.206929,generated,Does prednisone make anyone else really hungry?,"[""drug-approved""]","[""drug-approved""]",True,"[""prednisone""]",False,,,7.46,0.13,2,1,0
2025-11-22T03:39:47.375564,generated,I've been on fluoxetine for three months now.,"[""drug-approved""]","[""drug-approved""]",True,"[""fluoxetine""]",False,,,7.17,0.16,2,1,0
2025-11-22T03:39:57.531512,generated,The generic version of Xanax tastes awful.,"[""drug-approved""]","[""drug-approved""]",True,"[""Xanax""]",False,,,10.15,0.13,2,1,0
2025-11-22T03:40:05.103942,generated,Ibuprofen always upsets my stomach.,"[""drug-approved""]","[""drug-approved""]",True,"[""ibuprofen""]",False,,,7.57,0.16,2,1,0
2025-11-22T03:40:11.434415,generated,Aspirin is so cheap compared to other meds.,"[""drug-approved""]","[""drug-approved""]",True,"[""Aspirin""]",False,,,6.33,0.16,2,1,0
2025-11-22T03:40:17.897488,generated,I keep forgetting to refill my hydrochlorothiazide prescription.,"[""drug-approved""]","[""drug-approved""]",True,"[""hydrochlorothiazide""]",False,,,6.46,0.16,2,1,0
2025-11-22T03:40:28.643109,generated,Zolpidem makes me feel groggy the next morning.,"[""drug-approved""]","[""drug-approved""]",True,"[""Zolpidem""]",False,,,10.74,0.16,2,1,0
2025-11-22T03:40:34.824111,generated,My pharmacy only had brand name Tylenol left.,"[""drug-approved""]","[""drug-approved""]",True,"[""Tylenol""]",False,,,6.18,0.14,2,1,0
2025-11-22T03:40:43.911068,generated,Does Claritin come in a non-drowsy version?,"[""drug-approved""]","[""drug-approved""]",True,"[""Claritin""]",False,,,9.09,0.16,2,1,0
2025-11-22T03:40:46.045985,generated,My throat hurts so bad today.,,[],,[],False,,,2.13,0.09,1,0,0
2025-11-22T03:40:48.443850,generated,Why do I always get sick during midterms?,,[],,[],False,,,2.4,0.09,1,0,0
2025-11-22T03:40:52.156099,generated,Anyone else's allergies acting up already?,,[],,[],False,,,3.71,0.09,1,0,0
2025-11-22T03:40:54.686437,generated,My skin is breaking out for no reason.,,[],,[],False,,,2.53,0.09,1,0,0
2025-11-22T03:40:57.077187,generated,I've had a headache all day.,,[],,[],False,,,2.39,0.09,1,0,0
2025-11-22T03:40:59.255515,generated,My stomach feels weird after lunch.,,[],,[],False,,,2.18,0.09,1,0,0
2025-11-22T03:41:02.026599,generated,Can't stop coughing today ugh.,,[],,[],False,,,2.77,0.1,1,0,0
2025-11-22T03:41:04.744354,generated,Why is my chest so tight??,,[],,[],False,,,2.72,0.1,1,0,0
2025-11-22T03:41:08.399715,generated,I hate seasonal allergies.,,[],,[],False,,,3.65,0.1,1,0,0
2025-11-22T03:41:11.712911,generated,I keep waking up feeling dizzy.,,[],,[],False,,,3.31,0.1,1,0,0
2025-11-22T03:41:15.438986,generated,Does anyone know home remedies for sore throat?,,[],,[],False,,,3.72,0.09,1,0,0
2025-11-22T03:41:17.838880,generated,My sleep schedule is destroyed.,,[],,[],False,,,2.4,0.09,1,0,0
2025-11-22T03:41:20.426005,generated,I feel so tired no matter how much I rest.,,[],,[],False,,,2.59,0.09,1,0,0
2025-11-22T03:41:23.219188,generated,My back is killing me today.,,[],,[],False,,,2.79,0.09,1,0,0
2025-11-22T03:41:27.759053,generated,Does stress make you nauseous?,,[],,[],False,,,4.54,0.09,1,0,0
2025-11-22T03:41:30.590293,generated,I keep getting random fevers.,,[],,[],False,,,2.83,0.09,1,0,0
2025-11-22T03:41:33.872546,generated,My kid won't stop coughing.,,[],,[],False,,,3.28,0.12,1,0,0
2025-11-22T03:41:37.162699,generated,Why is my nose always stuffy?,,[],,[],False,,,3.29,0.09,1,0,0
2025-11-22T03:41:39.517657,generated,Working out today nearly killed me.,,[],,[],False,,,2.35,0.09,1,0,0
2025-11-22T03:41:42.939344,generated,I feel puffy and bloated for no reason.,,[],,[],False,,,3.42,0.09,1,0,0
2025-11-22T03:41:46.115143,generated,My neck is so stiff from sleeping wrong.,,[],,[],False,,,3.17,0.09,1,0,0
2025-11-22T03:41:58.311576,generated,My doctor prescribed metformin to help control my type 2 diabetes.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""metformin""]",True,type 2 diabetes,FDA indication states ZITUVIMET (sitagliptin + metformin) is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus — which directly matches the claimed indication 'type 2 diabetes.',12.19,1.1,3,2,0
2025-11-22T03:42:12.438814,generated,Taking aspirin for my headache pain.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""aspirin""]",True,headache,"Aspirin is approved for the temporary relief of minor aches and pains; 'headache' is a minor pain and the label even explicitly mentions headaches (noting delayed action), so the claimed indication matches the FDA-approved indication.",14.12,0.19,3,2,0
2025-11-22T03:42:24.436966,generated,Lisinopril is great for treating high blood pressure.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Lisinopril""]",True,high blood pressure,"'High blood pressure' is the lay term for 'hypertension,' which is explicitly listed as an FDA-approved indication for lisinopril (and lisinopril/hydrochlorothiazide) to lower blood pressure.",11.97,0.46,3,2,0
2025-11-22T03:42:37.144910,generated,Omeprazole helps with my acid reflux symptoms.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Omeprazole""]",True,acid reflux,"“Acid reflux” is a lay term for heartburn/GERD; Omeprazole is FDA‑approved to treat frequent heartburn, so the claimed indication matches the approved indication.",12.65,0.15,3,2,0
2025-11-22T03:42:48.371359,generated,Using albuterol inhaler for my asthma attacks.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""albuterol""]",True,asthma attacks,"""Asthma attacks"" is a lay term for bronchospasm/exacerbations of asthma. FDA indications state albuterol is indicated for the treatment or prevention of bronchospasm in patients with reversible obstructive airway disease (i.e., asthma), so the claimed indication matches the approved indication.",11.2,0.55,3,2,0
2025-11-22T03:43:00.039630,generated,Levothyroxine treats my hypothyroidism effectively.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Levothyroxine""]",True,hypothyroidism,"Exact match: FDA-approved indications list levothyroxine for replacement or supplemental therapy in patients with hypothyroidism of any etiology (covers cretinism, myxedema, ordinary hypothyroidism, secondary/tertiary hypothyroidism, and pregnancy).",11.61,0.2,3,2,0
2025-11-22T03:43:16.478980,generated,Doctor put me on atorvastatin to lower my cholesterol.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""atorvastatin""]",True,high cholesterol,'High cholesterol' is the lay term for hyperlipidemia/hypercholesterolemia; atorvastatin is FDA‑approved to reduce LDL‑C in adults with primary hyperlipidemia and familial hypercholesterolemia and as an adjunct to diet to lower cholesterol.,16.32,0.83,3,2,0
2025-11-22T03:43:30.806522,generated,Amoxicillin cleared up my bacterial sinus infection.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Amoxicillin""]",True,bacterial sinus infection,"FDA indication includes 'Infections of the ear, nose, and throat' and lists pathogens (e.g., Streptococcus pneumoniae, Haemophilus influenzae) that cause bacterial sinusitis. 'Bacterial sinus infection' (acute bacterial sinusitis) is the lay term for an ENT infection and therefore matches the approved indication.",14.27,0.34,3,2,0
2025-11-22T03:43:51.882532,generated,Taking acetaminophen (Tylenol) to reduce my fever.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""acetaminophen"", ""Tylenol""]",True,fever,"FDA label lists 'temporarily reduces fever' — the claimed indication 'fever' is the same condition (lay term), so this is a direct match.",20.9,0.18,5,4,0
2025-11-22T03:44:04.137179,generated,Ibuprofen helps with inflammation from my arthritis.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Ibuprofen""]",True,arthritis,"FDA-approved indications explicitly include 'minor pain of arthritis,' which directly matches the claimed indication 'arthritis.'",11.96,0.18,3,2,0
2025-11-22T03:44:18.977158,generated,Fluoxetine has been effective for treating my depression.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Fluoxetine""]",True,depression,"Fluoxetine is FDA‑approved for acute and maintenance treatment of Major Depressive Disorder (MDD). The lay term 'depression' corresponds to MDD, so the claimed indication matches the FDA‑approved indication.",14.83,1.01,3,2,0
2025-11-22T03:44:41.331387,generated,Sertraline helps manage my anxiety disorder.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Sertraline""]",True,anxiety disorder,"Sertraline is FDA‑approved for several anxiety-related conditions (e.g., panic disorder, social anxiety disorder/social phobia, and posttraumatic stress disorder), so the lay term “anxiety disorder” likely maps to some FDA‑approved indications. However it is ambiguous (e.g., generalized anxiety disorder is not an FDA indication for sertraline), so the match is probable but not definitive.",22.29,1.15,3,2,0
2025-11-22T03:45:01.652793,generated,Loratadine (Claritin) works well for my seasonal allergies.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Loratadine"", ""Claritin""]",True,seasonal allergies,"“Seasonal allergies” is the lay term for hay fever/allergic upper respiratory allergies, which are explicitly listed in the FDA-approved indications for loratadine.",20.29,0.21,5,4,0
2025-11-22T03:45:17.638837,generated,Ondansetron prevents nausea during my chemotherapy treatments.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""unsupported-claim""]",False,"[""ondansetron""]",True,nausea,"Partially matches: ondansetron is FDA‑approved for prevention of nausea and vomiting, but only in specific settings (highly/moderately emetogenic chemotherapy, certain radiotherapy regimens, and postoperative nausea). The single-word claim 'nausea' is broader than these approved, setting‑specific indications.",15.93,0.42,3,2,0
2025-11-22T03:45:29.558932,generated,Montelukast helps control my asthma symptoms.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Montelukast""]",True,asthma,The FDA label explicitly lists montelukast for the prophylaxis and chronic treatment of asthma in patients 2 years and older; the claimed indication 'asthma' directly matches this approved indication.,11.86,0.61,3,2,0
2025-11-22T03:45:39.402046,generated,Metoprolol succinate is used to treat my heart failure.,"[""drug-approved"", ""supported-claim""]","[""drug-approved"", ""supported-claim""]",True,"[""Metoprolol succinate""]",True,heart failure,Direct match — FDA labeling for metoprolol succinate explicitly lists “Heart Failure” (to reduce risk of cardiovascular mortality and heart failure hospitalizations) as an approved indication.,9.83,0.41,3,2,0
